,小区,梯户比,是否配备电梯,挂牌时间,上次交易,交易权属,房屋用途,房屋年限,抵押信息,房屋核验码,有效期限,交通情况,单价
0,粼江峰阁,三梯五户,有,2023-04-27,2007-11-29,商品房,普通住宅,满五年,"
                                无抵押
                              ",20230098264,2023.04.29-2025.06.28,近6号线顺江路站,27366元/平米
1,华熙528艺术村锦都,三梯五户,有,2023-04-29,2018-09-27,商品房,公寓,满两年,"
                                无抵押
                              ",20220156931,2023.04.29-2024.04.29,,32645元/平米
2,瑞升望江橡树林二期,三梯六户,有,2023-04-27,2017-10-17,商品房,普通住宅,满五年,"
                                有抵押 55万元 中国银行成都龙泉驿支行 业主自还
                              ",20230096501,2023.04.27-2025.04.28,近6号线三官堂站,30802元/平米
3,冻青树街70号,一梯四户,无,2023-04-14,2009-12-05,商品房,普通住宅,满五年,"
                                无抵押
                              ",20230085681,2023.04.28-2050.01.01,,11450元/平米
4,望江锦园,三梯八户,有,2023-04-28,2018-04-25,商品房,公寓,满五年,"
                                无抵押
                              ",2023456775,2023.04.29-2025.01.23,,22139元/平米
5,翡翠城五期,三梯六户,有,2023-04-29,2020-09-01,商品房,普通住宅,满两年,"
                                有抵押 185万元
                              ",106114416668,2023.04.30-2050.01.01,,35162元/平米
6,锦江国际花园,三梯八户,有,2023-04-27,2017-08-24,商品房,普通住宅,满五年,"
                                无抵押
                              ",106114392530,2023.04.27-2024.04.27,近7号线大观站,21378元/平米
7,塔子山壹号,两梯四户,有,2023-04-27,2016-11-07,商品房,普通住宅,满五年,"
                                无抵押
                              ",20220186498,2023.04.29-2026.04.10,近2号线塔子山公园站,28670元/平米
8,央湖名邸一期,两梯六户,有,2023-05-02,2015-05-01,商品房,普通住宅,满两年,"
                                有抵押 50万元 中信银行 业主自还
                              ",20230099545,2023.05.02-2026.03.31,近6号线东光站,34681元/平米
9,恒大都汇华庭,四梯七户,有,2022-12-06,2020-09-14,商品房,普通住宅,满两年,"
                                有抵押 218万元 工行 客户偿还
                              ",20220199476,,近2号线春熙路站,29476元/平米
10,锦江国际花园,三梯八户,有,2023-04-27,2017-08-10,商品房,公寓,满五年,"
                                有抵押 20万元
                              ",106114396042,2023.04.27-2024.04.27,近7号线大观站,21887元/平米
11,成功红树林,三梯五户,有,2023-04-29,2017-08-31,商品房,普通住宅,满五年,"
                                无抵押
                              ",20230098067,2023.04.29-2028.04.01,近6号线琉璃场站,23140元/平米
12,比华利国际城一期,两梯五户,有,2023-05-02,2010-08-10,商品房,普通住宅,满五年,"
                                无抵押
                              ",106114438854,2023.05.02-2024.05.02,近7号线大观站,19520元/平米
13,工农院街80号,一梯三户,无,2023-04-21,2008-02-27,商品房,普通住宅,满五年,"
                                无抵押
                              ",20230091708,2023.04.21-2024.11.30,近6号线三官堂站,11376元/平米
14,新希望锦官阁,两梯四户,有,2023-04-23,2018-06-09,商品房,普通住宅,满两年,"
                                有抵押 60万元 中国银行 业主自还
                              ",20230093818,2023.04.23-2025.04.23,近7号线狮子山站,31958元/平米
15,滨江东路228号,一梯四户,无,2023-04-19,2004-04-16,商品房,普通住宅,满五年,"
                                无抵押
                              ",20230090282,2023.04.20-2033.04.20,近3号线新南门站,18684元/平米
16,碧莲雅舍,一梯三户,无,2023-04-07,2007-01-02,商品房,普通住宅,满五年,"
                                无抵押
                              ",65983565,,近2号线牛王庙站,16381元/平米
17,世纪朝阳,两梯四户,有,2023-04-07,2014-05-15,商品房,普通住宅,满五年,"
                                无抵押
                              ",106114166609,2023.04.09-2029.04.02,近6号线三官堂站,22984元/平米
18,鑫苑名家二期,三梯八户,有,2023-04-07,2014-03-10,商品房,公寓,满五年,"
                                无抵押
                              ",106114160484,2023.04.08-2031.04.08,,18942元/平米
19,绿地468云玺五期,两梯四户,有,2023-04-09,2019-10-12,商品房,普通住宅,满两年,"
                                无抵押
                              ",20230090386,2023.04.20-2024.04.30,近2号线洪河站,26889元/平米
20,绿地468公馆二期,两梯八户,有,2023-04-13,2017-08-24,商品房,普通住宅,满五年,"
                                有抵押 100万元
                              ",20230093251,2023.04.23-2024.04.23,,28572元/平米
21,银唐国际,三梯十九户,有,2023-04-08,2017-05-24,商品房,普通住宅,满五年,"
                                无抵押
                              ",20230084718,2023.04.13-2024.04.12,,19417元/平米
22,净居寺南街198号,一梯两户,无,2023-04-23,2020-07-22,商品房,普通住宅,满两年,"
                                有抵押 65万元 浙商银行
                              ",20230093802,2023.04.23-2027.04.23,近6号线东光站,12919元/平米
23,财富中心,六梯六十九户,有,2023-04-29,2016-04-27,商品房,普通住宅,满五年,"
                                无抵押
                              ",1962887,2023.04.29-2024.03.31,近1号线(科学城-韦家碾)天府广场站,32153元/平米
24,ICC凯旋门,四梯八户,有,2023-04-29,2019-04-24,商品房,普通住宅,满两年,"
                                有抵押 190万元 客户偿还
                              ",20230098029,2023.04.29-2026.04.30,近2号线东大路站,35245元/平米
25,朗御,五梯六户,有,2023-04-25,2017-01-06,商品房,普通住宅,满五年,"
                                有抵押 90万元 业主自还
                              ",20230094540,2023.04.25-2023.10.24,近2号线春熙路站,26252元/平米
26,万科金润华府,三梯六户,有,2023-04-24,2016-04-27,商品房,普通住宅,满五年,"
                                有抵押 30万元 工行 业主自还
                              ",2023042726454,2023.04.27-2024.04.27,近7号线狮子山站,30004元/平米
27,绿地中心云锦468,两梯六户,有,2023-04-23,2021-02-11,商品房,普通住宅,满两年,"
                                有抵押 71万元 工行沙河 业主自还
                              ",106114357135,2023.04.23-2026.04.23,近2号线洪河站,27803元/平米
28,蓝润锦江春天,两梯五户,有,2023-04-23,2018-02-09,商品房,普通住宅,满五年,"
                                无抵押
                              ",20230093261,2023.04.23-2027.04.23,,23060元/平米
29,红星公寓,一梯四户,无,2023-04-27,2010-12-14,商品房,普通住宅,满五年,"
                                无抵押
                              ",220110514,2023.04.27-2027.04.27,近2号线春熙路站,25021元/平米
30,粼江峰阁,三梯五户,有,2023-04-27,2007-11-29,商品房,普通住宅,满五年,"
                                无抵押
                              ",20230098264,2023.04.29-2025.06.28,近6号线顺江路站,27366元/平米
31,华熙528艺术村锦都,三梯五户,有,2023-04-29,2018-09-27,商品房,公寓,满两年,"
                                无抵押
                              ",20220156931,2023.04.29-2024.04.29,,32645元/平米
32,瑞升望江橡树林二期,三梯六户,有,2023-04-27,2017-10-17,商品房,普通住宅,满五年,"
                                有抵押 55万元 中国银行成都龙泉驿支行 业主自还
                              ",20230096501,2023.04.27-2025.04.28,近6号线三官堂站,30802元/平米
33,冻青树街70号,一梯四户,无,2023-04-14,2009-12-05,商品房,普通住宅,满五年,"
                                无抵押
                              ",20230085681,2023.04.28-2050.01.01,,11450元/平米
34,望江锦园,三梯八户,有,2023-04-28,2018-04-25,商品房,公寓,满五年,"
                                无抵押
                              ",2023456775,2023.04.29-2025.01.23,,22139元/平米
35,翡翠城五期,三梯六户,有,2023-04-29,2020-09-01,商品房,普通住宅,满两年,"
                                有抵押 185万元
                              ",106114416668,2023.04.30-2050.01.01,,35162元/平米
36,锦江国际花园,三梯八户,有,2023-04-27,2017-08-24,商品房,普通住宅,满五年,"
                                无抵押
                              ",106114392530,2023.04.27-2024.04.27,近7号线大观站,21378元/平米
37,塔子山壹号,两梯四户,有,2023-04-27,2016-11-07,商品房,普通住宅,满五年,"
                                无抵押
                              ",20220186498,2023.04.29-2026.04.10,近2号线塔子山公园站,28670元/平米
38,央湖名邸一期,两梯六户,有,2023-05-02,2015-05-01,商品房,普通住宅,满两年,"
                                有抵押 50万元 中信银行 业主自还
                              ",20230099545,2023.05.02-2026.03.31,近6号线东光站,34681元/平米
39,恒大都汇华庭,四梯七户,有,2022-12-06,2020-09-14,商品房,普通住宅,满两年,"
                                有抵押 218万元 工行 客户偿还
                              ",20220199476,,近2号线春熙路站,29476元/平米
40,锦江国际花园,三梯八户,有,2023-04-27,2017-08-10,商品房,公寓,满五年,"
                                有抵押 20万元
                              ",106114396042,2023.04.27-2024.04.27,近7号线大观站,21887元/平米
