倒数第二列,平均值
,
10000元/平米,10000.0
10030元/平米,10030.0
10068元/平米,10068.0
10078元/平米,10078.0
10079元/平米,10079.0
10087元/平米,10087.0
10094元/平米,10094.0
10157元/平米,10157.0
10172元/平米,10172.0
10190元/平米,10190.0
10207元/平米,10207.0
10238元/平米,10238.0
10240元/平米,10240.0
10244元/平米,10244.0
10246元/平米,10246.0
10249元/平米,10249.0
10265元/平米,10265.0
10273元/平米,10273.0
10279元/平米,10279.0
10295元/平米,10295.0
10300元/平米,10300.0
10304元/平米,10304.0
10316元/平米,10316.0
10317元/平米,10317.0
10320元/平米,10320.0
10333元/平米,10333.0
10345元/平米,10345.0
10350元/平米,10350.0
10358元/平米,10358.0
10360元/平米,10360.0
10361元/平米,10361.0
10377元/平米,10377.0
10379元/平米,10379.0
10388元/平米,10388.0
10409元/平米,10409.0
10417元/平米,10417.0
10434元/平米,10434.0
10437元/平米,10437.0
10442元/平米,10442.0
10452元/平米,10452.0
10478元/平米,10478.0
10491元/平米,10491.0
10495元/平米,10495.0
10502元/平米,10502.0
10505元/平米,10505.0
10509元/平米,10509.0
10519元/平米,10519.0
10526元/平米,10526.0
10531元/平米,10531.0
10544元/平米,10544.0
10567元/平米,10567.0
10572元/平米,10572.0
10575元/平米,10575.0
10581元/平米,10581.0
10586元/平米,10586.0
10623元/平米,10623.0
10625元/平米,10625.0
10636元/平米,10636.0
10640元/平米,10640.0
10653元/平米,10653.0
10659元/平米,10659.0
10673元/平米,10673.0
10674元/平米,10674.0
10693元/平米,10693.0
10712元/平米,10712.0
10717元/平米,10717.0
10719元/平米,10719.0
10736元/平米,10736.0
10738元/平米,10738.0
10739元/平米,10739.0
10746元/平米,10746.0
10748元/平米,10748.0
10764元/平米,10764.0
10765元/平米,10765.0
10767元/平米,10767.0
10769元/平米,10769.0
10772元/平米,10772.0
10774元/平米,10774.0
10781元/平米,10781.0
10800元/平米,10800.0
10803元/平米,10803.0
10816元/平米,10816.0
10829元/平米,10829.0
10831元/平米,10831.0
10842元/平米,10842.0
10848元/平米,10848.0
10858元/平米,10858.0
10870元/平米,10870.0
10907元/平米,10907.0
10917元/平米,10917.0
10918元/平米,10918.0
10931元/平米,10931.0
10939元/平米,10939.0
10944元/平米,10944.0
10951元/平米,10951.0
10954元/平米,10954.0
10957元/平米,10957.0
10967元/平米,10967.0
10968元/平米,10968.0
10985元/平米,10985.0
11004元/平米,11004.0
11007元/平米,11007.0
11010元/平米,11010.0
11013元/平米,11013.0
11016元/平米,11016.0
11019元/平米,11019.0
11030元/平米,11030.0
11034元/平米,11034.0
11035元/平米,11035.0
11052元/平米,11052.0
11082元/平米,11082.0
11089元/平米,11089.0
11093元/平米,11093.0
11100元/平米,11100.0
11105元/平米,11105.0
11106元/平米,11106.0
11107元/平米,11107.0
11110元/平米,11110.0
11112元/平米,11112.0
11115元/平米,11115.0
11140元/平米,11140.0
11153元/平米,11153.0
11157元/平米,11157.0
11161元/平米,11161.0
11163元/平米,11163.0
11190元/平米,11190.0
11192元/平米,11192.0
11203元/平米,11203.0
11209元/平米,11209.0
11218元/平米,11218.0
11224元/平米,11224.0
11234元/平米,11234.0
11239元/平米,11239.0
11243元/平米,11243.0
11247元/平米,11247.0
11264元/平米,11264.0
11274元/平米,11274.0
